map,status,command,species,level,held_item
canalave_library_2f,new,GivePokemon,SPECIES_AGGRON,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_BANETTE,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_DRAPION,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_DUGTRIO,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_DUSCLOPS,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_HARIYAMA,50,ITEM_NONE
canalave_library_2f,new,GivePokemon,SPECIES_PRIMEAPE,50,ITEM_NONE
eterna_city,vanilla,GiveEgg,SPECIES_TOGEPI,11,
eterna_city_condominiums_1f,new,GivePokemon,SPECIES_NUMEL,23,ITEM_NONE
eterna_city_condominiums_1f,new,GivePokemon,SPECIES_SLUGMA,23,ITEM_NONE
eterna_city_condominiums_1f,new,GivePokemon,SPECIES_TORKOAL,23,ITEM_NONE
floaroma_meadow_house,new,GivePokemon,SPECIES_CHERUBI,18,ITEM_NONE
floaroma_meadow_house,new,GivePokemon,SPECIES_COMBEE,18,ITEM_NONE
floaroma_meadow_house,new,GivePokemon,SPECIES_PACHIRISU,18,ITEM_NONE
floaroma_town_middle_house,new,GivePokemon,SPECIES_MURKROW,18,ITEM_NONE
floaroma_town_middle_house,new,GivePokemon,SPECIES_POOCHYENA,18,ITEM_NONE
floaroma_town_middle_house,new,GivePokemon,SPECIES_SEEDOT,18,ITEM_NONE
floaroma_town_middle_house,new,GivePokemon,SPECIES_STUNKY,18,ITEM_NONE
hearthome_city_northwest_house,vanilla,GivePokemon,SPECIES_EEVEE,20,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_BULBASAUR,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_CHARMANDER,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_CHIKORITA,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_CYNDAQUIL,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_MUDKIP,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_SQUIRTLE,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_TORCHIC,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_TOTODILE,30,ITEM_NONE
hearthome_city_pokemon_fan_club,new,GivePokemon,SPECIES_TREECKO,30,ITEM_NONE
iron_island_b2f_left_room,vanilla,GiveEgg,SPECIES_RIOLU,10,
jubilife_city_south_house_1f,new,GivePokemon,SPECIES_GLAMEOW,10,ITEM_NONE
jubilife_city_south_house_1f,new,GivePokemon,SPECIES_MEOWTH,10,ITEM_NONE
jubilife_city_south_house_1f,new,GivePokemon,SPECIES_SKITTY,10,ITEM_NONE
mining_museum,vanilla,GivePokemon,(from variable 0x40b4),20,ITEM_NONE
oreburgh_city_middle_house,new,GivePokemon,SPECIES_BELLSPROUT,15,ITEM_NONE
oreburgh_city_middle_house,new,GivePokemon,SPECIES_CACNEA,15,ITEM_NONE
oreburgh_city_middle_house,new,GivePokemon,SPECIES_ODDISH,15,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_DEWGONG,45,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_KINGLER,45,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_POLITOED,45,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_RELICANTH,45,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_REMORAID,45,ITEM_NONE
pastoria_city_north_house,new,GivePokemon,SPECIES_SEADRA,45,ITEM_NONE
pokemon_day_care,new,GivePokemon,SPECIES_DITTO,30,ITEM_EVERSTONE
pokemon_mansion_office,new,GiveEgg,SPECIES_MANAPHY,8,
route_201,changed,GivePokemon,(from variable 0x8000),5,ITEM_NONE
sandgem_town_house,new,GivePokemon,SPECIES_EKANS,5,ITEM_NONE
sandgem_town_house,new,GivePokemon,SPECIES_GULPIN,5,ITEM_NONE
sandgem_town_house,new,GivePokemon,SPECIES_VENONAT,5,ITEM_NONE
solaceon_town_northeast_house,new,GivePokemon,SPECIES_CLAMPERL,30,ITEM_NONE
solaceon_town_northeast_house,new,GivePokemon,SPECIES_NATU,30,ITEM_NONE
solaceon_town_northeast_house,new,GivePokemon,SPECIES_TRAPINCH,30,ITEM_NONE
unused_jubilife_city_south_house_3f,new,GivePokemon,SPECIES_GLAMEOW,8,ITEM_NONE
unused_jubilife_city_south_house_3f,new,GivePokemon,SPECIES_MEOWTH,8,ITEM_NONE
unused_jubilife_city_south_house_3f,new,GivePokemon,SPECIES_SKITTY,8,ITEM_NONE
veilstone_city_northeast_house,new,GivePokemon,SPECIES_MASQUERAIN,40,ITEM_NONE
veilstone_city_northeast_house,new,GivePokemon,SPECIES_PINSIR,40,ITEM_NONE
veilstone_city_northeast_house,vanilla,GivePokemon,SPECIES_PORYGON,25,ITEM_NONE
veilstone_city_northeast_house,new,GivePokemon,SPECIES_SHUCKLE,40,ITEM_NONE
