location,map_or_file,species,method,level,conditions,origin,on_pick_list
Route 201,scripts_route_201.s,SPECIES_TURTWIG,starter,5,"chosen from Rowan's briefcase; once per game; the operand is a variable (GivePokemon 32768), the three options are in src/choose_starter/choose_starter_app.c",vanilla,yes
Route 201,scripts_route_201.s,SPECIES_SCORBUNNY,starter,5,"chosen from Rowan's briefcase; once per game; the operand is a variable (GivePokemon 32768), the three options are in src/choose_starter/choose_starter_app.c",vanilla,yes
Route 201,scripts_route_201.s,SPECIES_PIPLUP,starter,5,"chosen from Rowan's briefcase; once per game; the operand is a variable (GivePokemon 32768), the three options are in src/choose_starter/choose_starter_app.c",vanilla,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_FLYGON,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_COFAGRIGUS,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_HARIYAMA,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_BASTIODON,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_DRAPION,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_DUSCLOPS,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Canalave Library,scripts_canalave_library_2f.s,SPECIES_PRIMEAPE,gift,50,"clown gift, one of seven rolled at random (GetRandom 7); once only (FLAG_RECEIVED_CANALAVE_LIBRARY_GIFT)",base-rom,yes
Eterna City,scripts_eterna_city_condominiums_1f.s,SPECIES_SLUGMA,gift,23,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_ETERNA_CITY_CONDOMINIUMS_GIFT)",base-rom,yes
