species_id,constant,name,dex_pos,natdex,kind,donor_index
494,SPECIES_ALOLAN_NINETALES,Alolan Ninetales,19,38,form,1132
495,SPECIES_ANNIHILAPE,Annihilape,25,979,species,1029
496,SPECIES_GALARIAN_RAPIDASH,Galarian Rapidash,30,78,form,1158
497,SPECIES_GALARIAN_WEEZING,Galarian Weezing,35,110,form,1162
498,SPECIES_GALARIAN_MR_MIME,Galarian Mr. Mime,39,122,form,1163
499,SPECIES_MR_RIME,Mr. Rime,40,866,species,916
500,SPECIES_KLEAVOR,Kleavor,43,900,species,950
501,SPECIES_GYARADOS_M,Gyarados M,52,130,altevo,1087
502,SPECIES_SYLVEON,Sylveon,61,700,species,750
503,SPECIES_GALARIAN_ARTICUNO,Galarian Articuno,63,144,form,1164
504,SPECIES_GALARIAN_ZAPDOS,Galarian Zapdos,65,145,form,1165
505,SPECIES_GALARIAN_MOLTRES,Galarian Moltres,67,146,form,1166
506,SPECIES_CLODSIRE,Clodsire,77,980,species,1030
507,SPECIES_LOPUNNY_M,Lopunny M,180,428,altevo,1117
508,SPECIES_SNIVY,Snivy,218,495,species,545
509,SPECIES_SERVINE,Servine,219,496,species,546
510,SPECIES_SERPERIOR,Serperior,220,497,species,547
511,SPECIES_PURRLOIN,Purrloin,221,509,species,559
512,SPECIES_LIEPARD,Liepard,222,510,species,560
513,SPECIES_SEWADDLE,Sewaddle,223,540,species,590
514,SPECIES_SWADLOON,Swadloon,224,541,species,591
515,SPECIES_LEAVANNY,Leavanny,225,542,species,592
516,SPECIES_DWEBBLE,Dwebble,226,557,species,607
517,SPECIES_CRUSTLE,Crustle,227,558,species,608
518,SPECIES_YAMASK,Yamask,228,562,species,612
519,SPECIES_COFAGRIGUS,Cofagrigus,229,563,species,613
520,SPECIES_RUNERIGUS,Runerigus,230,867,species,917
521,SPECIES_MINCCINO,Minccino,231,572,species,622
522,SPECIES_CINCCINO,Cinccino,232,573,species,623
523,SPECIES_GOTHITA,Gothita,233,574,species,624
