dex_pos,name,status,natdex,kind,donor_index,verified,t1,t2,evo,tier
1,Charmander,native,4,platinum,,yes,Fire,Fire,,gate
2,Charmeleon,native,5,platinum,,yes,Fire,Fire,,gate
3,Charizard,native,6,platinum,,yes,Fire,Flying,,gate
5,Squirtle,native,7,platinum,,yes,Water,Water,,gate
6,Wartortle,native,8,platinum,,yes,Water,Water,,gate
7,Blastoise,native,9,platinum,,yes,Water,Water,,gate
8,Pikachu,native,25,platinum,,yes,Electric,Electric,,preferred
9,Raichu,native,26,platinum,,yes,Electric,Electric,,preferred
10,Pichu,native,172,platinum,,yes,Electric,Electric,,preferred
11,Nidoran F,native,29,platinum,,yes,Poison,Poison,,starter-adjacent
12,Nidorina,native,30,platinum,,yes,Poison,Poison,,starter-adjacent
13,Nidoqueen,native,31,platinum,,yes,Poison,Ground,,starter-adjacent
14,Nidoran M,native,32,platinum,,yes,Poison,Poison,,starter-adjacent
15,Nidorino,native,33,platinum,,yes,Poison,Poison,,starter-adjacent
16,Nidoking,native,34,platinum,,yes,Poison,Ground,,starter-adjacent
17,Vulpix,native,37,platinum,,yes,Fire,Fire,,starter-adjacent
18,Ninetales,native,38,platinum,,yes,Fire,Fairy,,starter-adjacent
19,Alolan Ninetales,new,38,form,1132,"MISMATCH (73, 67, 75, 81, 100, 109)",Ice,Fairy,,filler
20,Zubat,native,41,platinum,,yes,Poison,Flying,,starter-adjacent
21,Golbat,native,42,platinum,,yes,Poison,Flying,,starter-adjacent
22,Crobat,native,169,platinum,,yes,Poison,Flying,,starter-adjacent
23,Mankey,native,56,platinum,,yes,Fighting,Fighting,,filler
24,Primeape,native,57,platinum,,yes,Fighting,Fighting,,filler
25,Annihilape,new,979,species,1029,yes,Fighting,Ghost,"Primeape, level 50 (method 4)",filler
26,Tentacool,native,72,platinum,,yes,Water,Poison,,preferred
27,Tentacruel,native,,platinum,,UNMATCHED,Water,Poison,,preferred
28,Ponyta,native,77,platinum,,yes,Fire,Fire,,starter-adjacent
29,Rapidash,native,78,platinum,,yes,Fire,Fire,,starter-adjacent
30,Galarian Rapidash,new,78,form,1158,"MISMATCH (65, 100, 70, 80, 80, 105)",Fairy,Fire,,filler
31,Onix,native,95,platinum,,yes,Rock,Ground,,starter-adjacent
32,Steelix,native,208,platinum,,yes,Steel,Ground,,starter-adjacent
33,Koffing,native,109,platinum,,yes,Poison,Poison,,filler
34,Weezing,native,,platinum,,UNMATCHED,Poison,Poison,,filler
35,Galarian Weezing,new,110,form,1162,yes,Poison,Fairy,,filler
36,Rhyhorn,native,111,platinum,,yes,Ground,Rock,,preferred
37,Rhydon,native,112,platinum,,yes,Ground,Rock,,preferred
38,Rhyperior,native,464,platinum,,yes,Ground,Rock,,preferred
39,Galarian Mr. Mime,new,122,form,1163,yes,Ice,Psychic,,filler
40,Mr. Rime,new,866,species,916,yes,Ice,Psychic,"Galarian Mr. Mime, level 42 (method 4)",filler
41,Scyther,native,123,platinum,,yes,Bug,Flying,,preferred
42,Scizor,native,212,platinum,,yes,Bug,Steel,,preferred
43,Kleavor,new,900,species,950,yes,Bug,Rock,"Scyther, level up holding Hard Stone (methods 18/19); mirrors Scizor's Metal Coat route",preferred
44,Electabuzz,native,,platinum,,UNMATCHED,Electric,Electric,,preferred
45,Elekid,native,239,platinum,,yes,Electric,Electric,,preferred
46,Electivire,native,466,platinum,,yes,Electric,Fighting,,preferred
47,Magmar,native,126,platinum,,yes,Fire,Fire,,preferred
48,Magby,native,240,platinum,,yes,Fire,Fire,,preferred
49,Magmortar,native,467,platinum,,yes,Fire,Fire,,preferred
50,Magikarp,native,129,platinum,,yes,Water,Water,,preferred
51,Gyarados,native,,platinum,,UNMATCHED,Water,Flying,,preferred
52,Gyarados M,new,130,altevo,1087,"MISMATCH (95, 155, 109, 70, 130, 81)",Water,Dark,"alt evolution of Gyarados, Water/Dark; trigger TBD by Ian",preferred
53,Eevee,native,133,platinum,,yes,Normal,Normal,,preferred
54,Vaporeon,native,134,platinum,,yes,Water,Water,,preferred
55,Jolteon,native,135,platinum,,yes,Electric,Electric,,preferred
56,Flareon,native,136,platinum,,yes,Fire,Fire,,preferred
57,Espeon,native,196,platinum,,yes,Psychic,Psychic,,preferred
58,Umbreon,native,197,platinum,,yes,Dark,Dark,,preferred
59,Leafeon,native,470,platinum,,yes,Grass,Grass,,preferred
60,Glaceon,native,471,platinum,,yes,Ice,Ice,,preferred
61,Sylveon,new,700,species,750,yes,Fairy,Fairy,"Eevee, level up knowing a Fairy move (method 20)",preferred
62,Articuno,native,,platinum,,UNMATCHED,Ice,Flying,,gate
63,Galarian Articuno,new,144,form,1164,yes,Psychic,Flying,,gate
64,Zapdos,native,,platinum,,UNMATCHED,Electric,Flying,,gate
65,Galarian Zapdos,new,145,form,1165,yes,Fighting,Flying,,gate
66,Moltres,native,,platinum,,UNMATCHED,Fire,Flying,,gate
67,Galarian Moltres,new,146,form,1166,yes,Dark,Flying,,gate
68,Sentret,native,161,platinum,,yes,Normal,Normal,,starter-adjacent
69,Furret,native,162,platinum,,yes,Normal,Normal,,starter-adjacent
70,Togepi,native,175,platinum,,yes,Fairy,Fairy,,preferred
71,Togetic,native,176,platinum,,yes,Fairy,Flying,,preferred
72,Togekiss,native,468,platinum,,yes,Fairy,Flying,,preferred
73,Yanma,native,193,platinum,,yes,Bug,Flying,,preferred
74,Yanmega,native,469,platinum,,yes,Bug,Flying,,preferred
75,Wooper,native,194,platinum,,yes,Water,Ground,,preferred
76,Quagsire,native,195,platinum,,yes,Water,Ground,,preferred
